z[13]	219001	220000
z[14]	220001	221000
z[15]	221001	222000
z[16]	222001	223000
z[17]	223001	224000
z[18]	224001	225000
z[19]	225001	226000
z[20]	226001	227000
z[21]	227001	228000
z[22]	228001	229000
z[23]	229001	230000
z[24]	230001	231000
z[25]	231001	232000
z[26]	232001	233000
z[27]	233001	234000
z[28]	234001	235000
z[29]	235001	236000
z[30]	236001	237000
z[31]	237001	238000
z[32]	238001	239000
z[33]	239001	240000
z[34]	240001	241000
z[35]	241001	242000
z[36]	242001	243000
z[37]	243001	244000
z[38]	244001	245000
z[39]	245001	246000
z[40]	246001	247000
z[41]	247001	248000
z[42]	248001	249000
z[43]	249001	250000
z[44]	250001	251000
z[45]	251001	252000
z[46]	252001	253000
z[47]	253001	254000
z[48]	254001	255000
z[49]	255001	256000
z[50]	256001	257000
z[51]	257001	258000
z[52]	258001	259000
z[53]	259001	260000
z[54]	260001	261000
z[55]	261001	262000
z[56]	262001	263000
z[57]	263001	264000
z[58]	264001	265000
z[59]	265001	266000
z[60]	266001	267000
z[61]	267001	268000
z[62]	268001	269000
z[63]	269001	270000
z[64]	270001	271000
z[65]	271001	272000
z[66]	272001	273000
z[67]	273001	274000
z[68]	274001	275000
z[69]	275001	276000
z[70]	276001	277000
z[71]	277001	278000
z[72]	278001	279000
z[73]	279001	280000
z[74]	280001	281000
z[75]	281001	282000
z[76]	282001	283000
z[77]	283001	284000
z[78]	284001	285000
z[79]	285001	286000
z[80]	286001	287000
z[81]	287001	288000
z[82]	288001	289000
z[83]	289001	290000
z[84]	290001	291000
z[85]	291001	292000
z[86]	292001	293000
z[87]	293001	294000
z[88]	294001	295000
z[89]	295001	296000
z[90]	296001	297000
z[91]	297001	298000
z[92]	298001	299000
z[93]	299001	300000
z[94]	300001	301000
z[95]	301001	302000
z[96]	302001	303000
z[97]	303001	304000
z[98]	304001	305000
z[99]	305001	306000
z[100]	306001	307000
