"Trap.spacing","RMSE","Bias"
0.5,0.260705029852283,-0.0293458322657235
1,0.184093575730967,-0.00964001464763924
1.5,0.137773022419224,-0.00582998135804961
2,0.125418310705768,-0.00825253999321926
2.5,0.11619014105369,-0.001106053106515
3,0.153570462063998,0.0048730837755889
3.5,0.185556777543602,0.0245814820706244
4,0.417585950950365,0.0962660691786573
