"","lon","lat","habitat","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98"
"72033",-76.238,41.925,0.32315412651113,NA,NA,NA,1,5,15,11,11,6,16,NA,21,NA,NA,32,8,18,16,18,15,18,22,26,19,25,22,18,19,18,17,13,34,17
"72034",-76.73,41.447,1.15646587141934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,12,7,14,18,2,11,11,7,20,8,11,NA,NA,NA
"72035",-76.321,41.181,-0.853404614968662,NA,NA,NA,NA,NA,13,NA,NA,21,26,19,20,25,25,27,14,11,13,17,10,19,12,17,17,17,27,11,29,14,13,NA,NA,NA
"72036",-76.54,41.056,-1.18172782908061,NA,NA,NA,53,22,26,27,33,28,23,29,19,20,37,30,44,23,51,34,25,46,34,30,45,38,53,39,16,39,17,NA,NA,NA
"72037",-75.583,41.154,0.903568260549327,4,4,2,4,0,4,4,1,5,1,2,5,6,4,8,6,5,4,NA,4,7,5,5,23,19,7,13,12,16,22,NA,11,13
"72038",-75.8,41.558,-0.108022182930728,NA,5,3,3,4,11,5,10,8,20,21,7,11,9,20,16,13,10,20,21,11,21,15,15,18,23,13,18,12,18,14,13,18
"72039",-75.112,41.669,0.293709907063744,NA,NA,NA,NA,NA,NA,5,4,9,6,12,15,8,10,9,15,12,16,8,11,28,28,19,23,26,27,28,42,17,56,27,43,47
"72040",-75.289,41.754,0.87210731374253,NA,NA,NA,NA,3,2,8,0,3,0,0,2,2,6,1,5,13,3,4,8,3,8,5,17,12,NA,17,NA,NA,NA,11,9,NA
"72041",-75.182,41.46,0.8660571316643,NA,NA,NA,9,0,0,1,5,1,8,6,15,7,8,6,9,7,13,19,20,31,31,22,30,12,12,19,NA,21,11,8,8,10
"72042",-75.263,41.121,0.885821059786518,NA,NA,NA,4,2,18,3,2,8,12,28,3,32,NA,NA,NA,NA,NA,NA,2,NA,4,7,NA,NA,NA,10,21,9,7,NA,7,7
"72043",-75.453,41.997,0.753523745009222,NA,NA,NA,NA,NA,1,2,1,0,1,0,3,5,5,8,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,7,NA,10,7
"72044",-75.267,41.802,0.87210731374253,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,2,1,7,3,0,6,6,3,1,6,4,6,12,13,7,16,9,7,7,10,NA,NA
"72046",-80.412,40.816,-0.507737545565789,NA,NA,NA,6,12,4,3,7,6,12,12,4,14,18,NA,34,23,22,24,17,16,14,34,21,21,11,28,15,27,24,31,24,13
"72047",-80.358,40.039,-0.454899288749247,NA,NA,NA,NA,NA,NA,NA,NA,6,9,4,10,5,13,10,7,11,11,7,NA,7,19,13,14,10,14,28,13,15,13,16,7,8
"72048",-80.264,40.201,-1.0183729129684,6,3,2,23,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,33,29,20,26,107,41,56,22,45,33,46,36,31,33,42,37
"72049",-79.291,40.555,0.373168965024498,NA,12,16,9,12,16,16,13,30,23,19,13,7,19,NA,24,NA,5,10,13,41,22,21,29,17,18,14,25,33,19,26,32,32
"72050",-79.392,40.831,0.146085464354932,NA,NA,NA,NA,NA,NA,11,12,19,13,24,17,9,NA,NA,NA,NA,NA,NA,NA,NA,23,17,22,31,16,26,29,24,19,24,19,27
"72052",-79.292,40.506,-0.302031354905969,NA,NA,NA,7,10,20,NA,NA,NA,NA,NA,NA,NA,20,21,30,34,NA,NA,NA,NA,NA,7,25,25,13,23,27,24,21,24,NA,21
"72053",-79.746,40.827,-0.448445761199135,8,9,6,2,11,8,5,8,10,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,20,11,24
"72054",-79.422,40.653,-0.400447650045177,NA,NA,5,11,16,5,14,15,4,NA,NA,8,12,11,18,24,NA,NA,8,6,9,13,9,13,15,19,13,21,23,20,19,28,28
"72056",-79.468,40.671,0.432864094863034,NA,NA,NA,5,7,NA,1,10,16,NA,NA,NA,1,6,10,11,7,8,NA,5,NA,NA,15,38,24,29,31,13,21,28,34,20,33
"72057",-78.877,40.413,0.941079389434352,NA,NA,NA,4,9,5,10,5,6,6,4,10,5,NA,11,NA,NA,NA,NA,NA,NA,8,23,17,13,21,NA,NA,20,53,29,22,23
"72058",-78.735,40.663,0.325977544814304,NA,NA,NA,NA,14,8,9,10,6,15,9,3,8,6,39,12,15,19,NA,NA,NA,NA,14,NA,12,NA,19,22,14,13,20,16,12
"72059",-78.478,40.267,-0.740871228313584,NA,NA,NA,NA,16,11,12,23,19,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,25,62,52,30,22,20,29,20,20
"72060",-78.257,40.972,0.294516598007508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,9,28,16,9,NA,NA,6,18,6,11,17,9,17,18,19,25,15,11
"72061",-78.302,40.275,-0.498460599712503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,31,10,28,38,18,25,25,21,25,28
